Name,Stars,Title,Date,Description
rajendran.p,4.0,"4.0 out of 5 stars
Thank you ❤️",05/08/2023,Good 👍
Dilli krishna,4.0,"4.0 out of 5 stars
Good",29/07/2023,Good one
jpsinghaniya,4.0,"4.0 out of 5 stars
Hkl",23/07/2023,Very nice
sourav chakraborty,4.0,"4.0 out of 5 stars
Nice",22/07/2023,Good
Kanhaya Lal,5.0,"5.0 out of 5 stars
Good",23/10/2023,Awesome...
Shivani Parashwar,5.0,"5.0 out of 5 stars
Liked it",09/10/2023,I like the taste and affordable too
Sandip Sahoo,5.0,"5.0 out of 5 stars
Very nice 👍👍",16/10/2023,Very nice product
Sahil shah,5.0,"5.0 out of 5 stars
Ingredients",10/09/2023,It's best as it doesn't have chemicals like chlorine and flourine to keep your mouth fresh like Colgate which will help your teeth last long
Sandeep chaturvedi,4.0,"4.0 out of 5 stars
Quality",02/07/2023,Good
Sai inavolu,5.0,"5.0 out of 5 stars
Good product",09/10/2023,Nice product
Zulfeqar H.,3.0,"3.0 out of 5 stars
It's ok",25/09/2023,Thik he H
yusuf khan,4.0,"4.0 out of 5 stars
Good",04/07/2023,Awesome taste smell
Binoj,5.0,"5.0 out of 5 stars
Really good one",12/09/2023,Good toothpaste with good . It gives a real refreshing experience. I would really like to recommend this toothpaste.
Ms Khan,3.0,"3.0 out of 5 stars
Very good offer",18/09/2023,Very good product very good offer
Adv Vikas Nawathe,4.0,"4.0 out of 5 stars
Best Offer",20/06/2023,Thank you
NIKHIL D.,5.0,"5.0 out of 5 stars
Nice product.",30/09/2023,Good original product.
Narinder Verma,5.0,"5.0 out of 5 stars
Toothpaste",27/09/2023,Usefull product
Placeholder,5.0,"5.0 out of 5 stars
Freshness",23/09/2023,Good feeling
Raju,3.0,"3.0 out of 5 stars
good",15/09/2023,good product
[S]Sourovv,5.0,"5.0 out of 5 stars
Best toothpaste in my opinion",08/07/2023,It is just fantastic in terms of flavour. Solves bad breathe problem properly.  I only need little bit to effectively brush and clean my teeth. Also Price is very reasonable. No other brand has similar product which can compete with this.Try this if you haven't yet.
Kaushal Sharma,3.0,"3.0 out of 5 stars
Good toothpaste.",14/09/2023,Good toothpaste.
sububalu,5.0,"5.0 out of 5 stars
Good",15/09/2023,Healthy tooth paste from dabur
buyer,5.0,"5.0 out of 5 stars
value of money",21/09/2023,right choice
Jabeen,5.0,"5.0 out of 5 stars
Very good",20/09/2023,Very good
Dr Rayees Ahmad Bhat,5.0,"5.0 out of 5 stars
Works like charm.",01/09/2023,Very good product. I'm now a regular user of the paste. Took care of my teeth and gums
Sadek Shaikh,3.0,"3.0 out of 5 stars
Good product",08/09/2023,Valu for money
Sanjoy Som,3.0,"3.0 out of 5 stars
Average in quality",09/09/2023,This is an average quality product.
Placeholder,5.0,"5.0 out of 5 stars
Nice Product",09/09/2023,Nice toothpaste and effect on teeth
Ramesh,5.0,"5.0 out of 5 stars
Nice",14/09/2023,Super
Deepak Kumar,5.0,"5.0 out of 5 stars
Good Product",12/09/2023,Good Product
Syed Anas,3.0,"3.0 out of 5 stars
Average",29/08/2023,"Just ok ok, nothing special"
Imtiyaz,3.0,"3.0 out of 5 stars
Best",01/09/2023,Best
Mukesh Kumar,5.0,"5.0 out of 5 stars
Good product and service",24/08/2023,Very good product and service...Thank you Amazon.....
Shehbaz,2.0,"2.0 out of 5 stars
Taste is not good",07/09/2023,"Dabur's Maswak paste is ayurvedic by the way and it is good to use but its taste is not good due to which not everyone likes its test so use it.  Few people do. I also ordered the toothpaste from amazon in my house, but due to its taste not good and due to a couple of shortcomings, our family members have stopped using it.  And they are saying that our teeth are damaged, our gums are damaged, but I like it, but I don't like the taste, so I don't think it's very good, so I give this page and two stars."
DEEPU KUMAR,3.0,"3.0 out of 5 stars
Taste Is Not Recommendable",07/07/2023,"Taste is not so good although it cleans teeth properly, company should improve taste also"
Valencia,5.0,"5.0 out of 5 stars
Good",22/08/2023,Value for money as compared to store bought prices.
E.Subburam,5.0,"5.0 out of 5 stars
Meswak pastev",02/09/2023,Good product
kalim khan,3.0,"3.0 out of 5 stars
Good",17/08/2023,It is good product.
ROTHIN DUTTA,4.0,"4.0 out of 5 stars
Pure miswak",26/05/2023,The media could not be loaded.
Anand Girdhar,5.0,"5.0 out of 5 stars
Slowly but Genuinely effective on tooth plague/ tartar",18/06/2023,This has worked quite well when i used it due to having tooth plague and gums had some open wounds. It doesn't give any burning sensation while brushing. I would recommend this to all for daily use.
Placeholder,4.0,"4.0 out of 5 stars
Nice",10/04/2023,A nice alternative.. had to buy this as Vicco vajradanti was taking delivery charges..
Ritika Siddiqui,5.0,"5.0 out of 5 stars
Great product",11/08/2023,Must switch to this  if you are having gum issues
BuyerFreak,5.0,"5.0 out of 5 stars
Best mouth feel.",28/08/2023,Fresh and natural mouth feel. Pleasant.
Bansal,1.0,"1.0 out of 5 stars
Sodium saccharine content",08/02/2024,Since it is a branded product so nothing fishy here but beware of high sodium saccharine content. It leaves sweetness in mouth after brushing
SANJAY MISHRA,5.0,"5.0 out of 5 stars
Effective Ayurvedic Toothpaste",18/08/2023,"Smells good,doesn't foam too much,effectively cleans teeth.Definitely recommend."
Afjal razvi,5.0,"5.0 out of 5 stars
Bahut Acha hi",19/08/2023,Bahut Acha hi
dheeraj gupta,3.0,"3.0 out of 5 stars
Due to brand name I purchased but it’s average toothpaste",24/07/2023,Needs more wuality
SSN,4.0,"4.0 out of 5 stars
Good one",12/04/2023,Good product. Reasonable price.
Nishu.Rajput,5.0,"5.0 out of 5 stars
Excellent quality 👌",15/08/2023,Very good 👍
Herminder Kaur,5.0,"5.0 out of 5 stars
Too good",05/08/2023,Best parchase at such an adorable price.
Sk Sirajudddin Ahmed,5.0,"5.0 out of 5 stars
Good",17/08/2023,Nice product
Priyabrat,5.0,"5.0 out of 5 stars
Badhia",05/08/2023,Wow
Francis D Souza,5.0,"5.0 out of 5 stars
Good.",25/08/2023,Wonderful.
Raviteja Pathikonda,4.0,"4.0 out of 5 stars
Seal was broken",28/03/2023,
Akshay Kumar,3.0,"3.0 out of 5 stars
Good",14/07/2023,Really Good Deal
Prashant,5.0,"5.0 out of 5 stars
Very good Taste and Fresh",03/07/2023,Very nice and Fresh itemOriginal product and used before as well u can purchase without doubt.Thank you Amazon
Vikram,5.0,"5.0 out of 5 stars
Very good product",22/08/2023,Best taste and quality
Rahul jaiswal,4.0,"4.0 out of 5 stars
Very good product",29/03/2023,I like it
Ayushi Roy,5.0,"5.0 out of 5 stars
Fresh breath and removed stains",18/02/2024,"I have been using it for 1 month, and I can see the difference in the shades of my teeth,Also using it twice a day removes bad odour from mouth and stays longer for hours"
Khyati Varshney,4.0,"4.0 out of 5 stars
Teeth whitening",05/02/2024,"I purchased this 3 month ago & i use this consistently, in the first month I see visible results like my yellow stain is too dark but it's not completely remove the yellow stain but it gets better & light 2 shades."
Amit Das,5.0,"5.0 out of 5 stars
Amazing Product 👍",10/02/2024,"I have been using this for quite some time now, honestly there is no comparison to this product. It removed tarnish and whiten my teeth and keeps me fresh with fresh breath. I request everyone to try."
Michelle,3.0,"3.0 out of 5 stars
Does it really help?",18/12/2023,"It's been over 10-12 days since I started using this product and to be honest I couldn't see any changes.Before I started using this, I got my teeth cleaned by the dentist however there were a few yellow stains on my teeth and I thought this could help me with that. Since I consume a lot of coffee and tea, my teeth stain very easily.Ever since I started using this product, I have reduced my caffeine intake, I have also started brushing my teeth thrice a day, I drink a lot of water, and more than usual but still I can't see any visible change.I don't know what to say, I read reviews of this product before buying it, and since most people have given positive reviews, I decided to go for it.Well, I am gonna keep using it for a month and see if this really works."
Dhiren Jain,4.0,"4.0 out of 5 stars
This is a very good product",13/02/2024,"I really like this powder, it keeps your mouth fresh and makes us feel fresh. I love the product."
Ishu Gupta,5.0,"5.0 out of 5 stars
This toothpaste is just awesome..",10/02/2024,"The media could not be loaded.
                



 I was having a bit yellowish teeth and I was afraid to get bad photos in my marriage. So I bought this tooth powder in spite of going for any dental cleaning. This does miracle.. my teeth were brightest of ever my photos were just wow.. I laughed with my fullest on my wedding.Must buy"
It's really good for yellow teeth,5.0,"5.0 out of 5 stars
Good",17/02/2024,It's really good for yellow teeth but it take 1 week to see results
Nitu Poonia,4.0,"4.0 out of 5 stars
Good",12/02/2024,It’s not something works like magic it’s take months to whiten your teeth over all a good product
tyagi,4.0,"4.0 out of 5 stars
Good amazing",14/02/2024,Superb product
vijay sharma,4.0,"4.0 out of 5 stars
Review",06/02/2024,Bought for mother seems like a good product so far
deeksha chauhan,4.0,"4.0 out of 5 stars
Good",23/01/2024,"I have just started using it; I liked the smell and feel of this. Well, I have to wait to see the changes in my teeth. I'll update once I see those changes."
Apoorva,4.0,"4.0 out of 5 stars
Good",27/01/2024,Works according to description.
Rajkiran,4.0,"4.0 out of 5 stars
Good",21/01/2024,For whitening teeth
Good,4.0,"4.0 out of 5 stars
Good",15/01/2024,Good product
Shivam Soni,4.0,"4.0 out of 5 stars
Good teeth whitening powder",12/01/2024,Safe and good teeth whitening powder.No harmful chemicals.
Amazon Customer,4.0,"4.0 out of 5 stars
Its good",03/01/2024,
Gargi Pant,4.0,"4.0 out of 5 stars
Good product",24/12/2023,I am happy with the product delivery and its result.
Shailvi Gupta,4.0,"4.0 out of 5 stars
Its good",27/12/2023,Good
Ashish,4.0,"4.0 out of 5 stars
Teeth whitening",13/12/2023,I like the whitening property but taste is not that much good overall product is better
urvashi,4.0,"4.0 out of 5 stars
Good product",03/12/2023,"The product has a nice fragrance, the process is little slow but worth trying"
Dishika,4.0,"4.0 out of 5 stars
Loved it!",01/11/2023,"A friend of mine recommended me this product, emphasising on it’s effective results.I tried it and was surprised by the pleasant aroma it had. It is easy to use and carry around. And with ingredients like ashwagandha and aloe vera and mint, it paves the path for a safe whitening solution. Overall, i liked the product. And I would recommend to y’all for sure!"
Joginder Singh,5.0,"5.0 out of 5 stars
Very Nice Product",13/02/2024,"Buyed presently, used few time, this tastes very good... Lets see the effectiveness after using this for some more time."
Rakesh Tiwari,4.0,"4.0 out of 5 stars
nice it effective but not magical",30/11/2023,IT effective i can see visivle changes after 1 week usage
GANESH,5.0,"5.0 out of 5 stars
I personally liked it..",09/02/2024,I have just started to using it and only after few usage it started working with nice visible effects on my teeth. It's taste is also good and refreshing. I liked it.
Manzoor Ahmad Wani,5.0,"5.0 out of 5 stars
Nice product",17/02/2024,Jst started to use the product..showing postive results..
AMMAR,3.0,"3.0 out of 5 stars
Product looks decent.",04/01/2024,Product looks decent.Will update after a month of usage.
Niana,4.0,"4.0 out of 5 stars
Great taste",28/11/2023,Very good product. Worth the money and effective results
Pankajbhatt,5.0,"5.0 out of 5 stars
Great product",05/02/2024,Really enjoyed the fresh breath from peppermint as well as results are visible after 2 times usage.
Prangya,3.0,"3.0 out of 5 stars
Good",01/01/2024,Good
Kaushal Kumar Mishra,5.0,"5.0 out of 5 stars
Awesome",12/02/2024,"Just purchased this item and start using this Perfora teeth whitening powder, later I will update the result"
Mishty Sharma,4.0,"4.0 out of 5 stars
Goes by the name",11/11/2023,"Amazing product, my second purchase and amazing results, cheaper and safer way to whiten your teeth with all day freshness."
Amit kumar,4.0,"4.0 out of 5 stars
Nice product",18/11/2023,I m using this product from past 1 week…nice product
NishantLohar,5.0,"5.0 out of 5 stars
Whitining powder",14/02/2024,Awesome product
Aakash,3.0,"3.0 out of 5 stars
Flavour is refreshing",15/12/2023,Mint flavour is refreshing and after first use i noticed slightest different in stain let's hope after use several times it will clear up all the stains
Sourav salaria,5.0,"5.0 out of 5 stars
Product",11/02/2024,Really good product 👍
Puneet,5.0,"5.0 out of 5 stars
Good",10/02/2024,Nice product
Nerisa   fernandes,4.0,"4.0 out of 5 stars
Perfora",15/11/2023,It's very nice
Jayeta Gargari,5.0,"5.0 out of 5 stars
Love it , use it",11/02/2024,It works
Sahil Sharma,5.0,"5.0 out of 5 stars
Very good substitute for toothpaste",25/01/2024,"One of the best tooth powder out there, I ordered triple mint and it was so refreshing."
Hitanshu Sahu,4.0,"4.0 out of 5 stars
Is it worth it - just receive product ( let me use this 15 days)",02/11/2023,My only question if this is sodium bi carbonate ( baking soda) why is this so costly?
Ruchita Waghmare,4.0,"4.0 out of 5 stars
Recommended 👍👍",07/11/2023,Totally recommend this product .. very decent aroma and gives very good results ....
muskan khedia,4.0,"4.0 out of 5 stars
Good quality",01/11/2023,It is rare to found oral products with lesser chemicals and better natural extracts
Jeet Vijayvargiya,5.0,"5.0 out of 5 stars
Does What It Says'",31/01/2024,Brighter White Teeths After 3 Uses..
Hemant Solanki.,4.0,"4.0 out of 5 stars
Good thing for teeth",29/10/2023,This is good product for yellow color of teeth 👍
Umangbedi,5.0,"5.0 out of 5 stars
Good product for cleaning teeth",09/01/2024,using form 3 4 days working fine for me.  A reliable choice for a whiter teeth and capable for removing plaques from the teeth.
Nikhilesh Kumar,5.0,"5.0 out of 5 stars
Cool breeze that makes one’s morning fresh",22/01/2024,"The media could not be loaded.
                



 I have been a fan to the product. The quality surely meets the expectations and I would definitely advise to try the product. If you use it then never gonna go back again."
Lokesh,4.0,"4.0 out of 5 stars
Good",15/10/2023,"Nice packaging and refreshing taste, need to use it for a while to see if it works or not."
Vedansh Dwivedi,5.0,"5.0 out of 5 stars
Amazing Product",16/01/2024,Have been using this for the last 6 months every night. This is a great product.
RINO,4.0,"4.0 out of 5 stars
Bestseller",07/11/2023,Got it for my dad this Amazon bestseller. he is yet to use it but seems okay.
Vanshika Sharma,5.0,"5.0 out of 5 stars
Good product",09/02/2024,"The media could not be loaded.
                



 It’s a very good and refreshing tooth powder"
MOHINI VERMA,5.0,"5.0 out of 5 stars
Nice packaging",31/01/2024,Good product
Ibas Ibroi,5.0,"5.0 out of 5 stars
Good Packaging",06/01/2024,I haven't yet tried it but it seems promising.  I bought with much hope . I wish it will work for me. By the way the most attractive part is for me it's vegan friendly.
R N Sharma,5.0,"5.0 out of 5 stars
Nice product",23/01/2024,Just started using it
Mohammad Anwar Zahoor,5.0,"5.0 out of 5 stars
Toothpaste with freshness in the mouth",12/01/2024,Today I used it for the first time and it left a good freshness & feeling & hoping that it will donit's work as well; of teeth whitening....
Chandra,5.0,"5.0 out of 5 stars
Natural Product",28/01/2024,Powerfull and natural product
ankit kumar,5.0,"5.0 out of 5 stars
Amazing product",26/01/2024,"The media could not be loaded.
                



 It's really minty and works like magic on your teeths giving you a perfect smile for your special day ❤️"
Shourya Vashishtha,5.0,"5.0 out of 5 stars
Recommended",26/01/2024,Works like magic.
Ashish,5.0,"5.0 out of 5 stars
Works instant wonders",13/01/2024,Product is actually crucially effective. Started showing its effects in min 15days and that too was surprisingly well. Thanks Amazon for recommending this to me
Sunil P S,5.0,"5.0 out of 5 stars
Nice product",24/01/2024,It works and seeing improvement from first week itself.
Mir,4.0,"4.0 out of 5 stars
Refreshing",09/10/2023,"It delivers a refreshing experience. Its minty freshness invigorates while effectively whitening the teeth. Easy application, natural ingredients. 👍"
Adnan K.,5.0,"5.0 out of 5 stars
Great Product",12/01/2024,After 1st use you will see the difference and the flavour is so good. Super minty flavour.
Venkata Subrahmanyam Telikicherla,5.0,"5.0 out of 5 stars
Excellent Product",15/01/2024,"The media could not be loaded.
                



 I purchased triple mint flavour and it is very good excellent mouth fresh also., started brushing my teeth from first day onwards I observed that my teeth glittering and I feel freshness"
Dhrushita,5.0,"5.0 out of 5 stars
Great Product",18/01/2024,Using since a week and can see visible results.
Ashif Ali Mollick,4.0,"4.0 out of 5 stars
Mint taste is delightful",08/08/2023,"It's been only a day since I've tried this product. It might be awhile before I see the whitening result. However the mint taste is refreshing.  Since it's in powder form, I am worried about multiple people using it for hygiene purpose as we need to dip a damp brush in bottle to get it out. Maybe use some other form as a product? Suggestion."
Maheswar Reddy,3.0,"3.0 out of 5 stars
No effect",24/11/2023,Didn’t see results
Pradeep Rajput,4.0,"4.0 out of 5 stars
Good",07/10/2023,"It will take some time, but it's really effective. Highly recommended."
Amazon Customer,4.0,"4.0 out of 5 stars
Perfora",15/10/2023,This products actually looks cool & satisfactory
Amazon Customer,4.0,"4.0 out of 5 stars
Good",01/10/2023,Liked the feeling in my mouth after I have used it. Definitely removes plaque..too early to tell if it whitens the teeth.
Mayank anand,4.0,"4.0 out of 5 stars
nice product, worth buying it.",29/09/2023,"the product is easy to use and it works well, we can see the results in 2-3 days."
Tina,4.0,"4.0 out of 5 stars
Good quality",21/09/2023,Product is good and works too but only as long as you use it continuously. Otherwise the teeth returns to the previous condition
Balaji Subramanian,4.0,"4.0 out of 5 stars
There's definitely a noticeable change for me",30/07/2023,"I never used a product for teeth whitening before, but I brought this because I have an issue where there's a yellow tint in my upper incisors. There's no drastic change, but it is noticeable. Consistancy is important, I also like the freshness and mint flavor of this powder, I also use watermelon mint toothpaste from Perfora, but I prefer the flavor of this one. The freshness also lasts longer."
Om Prakash Ray,3.0,"3.0 out of 5 stars
It is ok",10/11/2023,Ok
Meda,3.0,"3.0 out of 5 stars
Mint",29/10/2023,Only thing that works is the freshness and the oder of the mint.apart from thatIt's just a regular tooth paste or powder
This product is beautiful and cost effective,4.0,"4.0 out of 5 stars
White teethening powder",06/10/2023,Good product
Amazon Customer,5.0,"5.0 out of 5 stars
Taste",06/01/2024,The toothpaste tastes very nice and feels effective from the first brush
Abhishek,4.0,"4.0 out of 5 stars
Good product, easy to use",19/09/2023,"Packaging is good, early delivery 🚚, refreshing, easy to use and result is good"
Abhineet Jain,4.0,"4.0 out of 5 stars
Good product",30/09/2023,Nice texture and taste
Subham,4.0,"4.0 out of 5 stars
Fine and the powder is smooth",19/09/2023,"The powder is refreshing and also Very smooth, liked it"
Sheetal Dewani,5.0,"5.0 out of 5 stars
Effective and natural",08/12/2023,Perfora is a very good product for whitening your teeth. My teeth have been shining since I have used this product. I strongly recommend to use this as it is pocket friendly. I am a regular coffee user but perfora has really helped me to whiten my teeth.
Rahgir,5.0,"5.0 out of 5 stars
Be patient it actually works😀",17/12/2023,Initially when I started using this it was not showing much results but after few days and regular use it started to show some really good results.
Swati,4.0,"4.0 out of 5 stars
Good Product",06/09/2023,Used it for more than a week. The product is really good and refreshing with visble results through regular use
Parag Sen,5.0,"5.0 out of 5 stars
Absolutely loved it",03/08/2023,"I recently bought the Perfora Teeth Whitening Powder, and I have to say, it totally exceeded my expectations! This teeth whitener is a total game-changer when it comes to getting a brighter smile, and what's even better is that it's enamel-safe. The first thing that caught my attention was its all-natural formula. I'm really conscious about using harsh chemicals, so I loved that it's made from activated charcoal and other natural ingredients. It made me feel at ease knowing that I'm using a safe and gentle product on my teeth.Using the powder was a breeze, and I was genuinely amazed by the immediate results after just a few uses. It really did a fantastic job lifting surface stains, leaving my teeth noticeably whiter and brighter. And as a bonus, it even helped reduce plaque and freshen my breath!Overall, I'm super happy with the Perfora Teeth Whitening Powder, and I highly recommend it to anyone looking for an effective and safe way to whiten their teeth. It's definitely worth every penny!"
Chander Kant (CK),5.0,"5.0 out of 5 stars
Sooo good",13/01/2024,"The media could not be loaded.
                



 It's smell excellent 👌 perfect Indian brand!Someday they would increase cost."
Anupama A,5.0,"5.0 out of 5 stars
Works well as claimed",22/12/2023,Just bought it two weeks ago and I only use it two times a week. There's no bad after taste or feeling it and it removes stains pretty well. Would recommend to go for it.
Poulome,4.0,"4.0 out of 5 stars
Perfora teeth whitening powder -OG",08/08/2023,"Just got it delivered today. I'll agree that the taste is refreshing and the aftertaste is really kintu and fresh. Regarding the effectiveness, I'll have to use it for a month and see. I've yellow stains, let's see how it works."
Good and effective,4.0,"4.0 out of 5 stars
Good and effective",23/09/2023,Good product effective way to clean your teeth
Abhay,3.0,"3.0 out of 5 stars
PERFORA teeth whitening powder",24/10/2023,"I like the taste, and using it for teething whitening. Using it for last few days, awaiting results.."
rahul,4.0,"4.0 out of 5 stars
Worth buying it",13/09/2023,The product is good and I can see immediate improvement.Also it is reasonable as compared to other products in the market
Gaurav Pansare,5.0,"5.0 out of 5 stars
Good product",01/08/2023,"Hey I am regular tea coffee user. My teeth has gradually turned yellowish. I needed a solution for the same. While going through a lot of products online, after reading it's reviews here, I decided to grab it. Once I received it, after using it for four days continuously, I can start to seeing a little difference in the discoloration of my teeth. However the actual results I will know after a the usage for a month atleast. But as soon as I could feel there's a little difference, I wanted to share it with the people who are struggling with the same issue. You can surely give it a try. Moreover, it's cruelty free, vegan, sls & paraben free, no artificial flavors added, non gmo. It has almost everything I look for these days before purchasing any cosmetic thing. Rest, I understand everything depends on personal experience. My experience has been good so far."
Sidd,4.0,"4.0 out of 5 stars
Smell is really good, need to use it for a longer period to comment on the effectiveness",03/09/2023,"Smell is really good, need to use it for a longer period to comment on the effectiveness"
Jasmeet Kaur,4.0,"4.0 out of 5 stars
Nice product",10/09/2023,"Like the product, haven't used it much .But it taste good"
Unnati,5.0,"5.0 out of 5 stars
Review",14/12/2023,I used this product and in one use I can see good results and the mint flavour is very refreshing. Really loved the product.
Ekta Desai,5.0,"5.0 out of 5 stars
This really works",30/12/2023,My teeth gradually became whiter
Black panther,4.0,"4.0 out of 5 stars
Good product",12/08/2023,The product is good at comes in a very good packaging the smell of the product is really good in the quantity is also good as compared to his price
Ishaan Sharma,4.0,"4.0 out of 5 stars
Review",08/09/2023,Useful product and good for teeth whitening and the smell is also good
Muneza kosar,5.0,"5.0 out of 5 stars
Nice.. product, will review after 10 days for effective ness.",13/12/2023,"Fragrance is good, but too tingling sensation after brushing, effectiveness will be reviewed after 10 days."
Mr. Nawab,5.0,"5.0 out of 5 stars
Gums and teeth",20/12/2023,"The media could not be loaded.
                



 Very good for Gums and teeth, it removes yellow stain for teeth, Make strong and healthy Gums. I used it from Tho month and result is very good."
senthilkumar,5.0,"5.0 out of 5 stars
Awesome",21/12/2023,Awesome product most trustable suggetion to others
SUCHITHRA BALIGA B,5.0,"5.0 out of 5 stars
The teeth whitening really works",03/12/2023,I have been using this product for 2 days and I got the amazing results where my teeth looks polished and shiny and the yellowish stain has started reducing. Thank you perfora
Piyush Vig,5.0,"5.0 out of 5 stars
Useful",19/12/2023,It’s a useful product..it really helped to keep my teeth white
Dharmesh Tolia,5.0,"5.0 out of 5 stars
t's more than just toothpaste; it's a holistic approach to oral care...",27/01/2024,"Dabur Meswak Complete Oral Care Toothpaste is a game-changer for my daily dental routine. The refreshing blend of Meswak not only leaves my mouth feeling incredibly clean but also ensures my gums stay healthy. It goes beyond conventional toothpaste, addressing cavity concerns and promoting overall oral well-being. The natural ingredients give me confidence in my choice. Using Dabur Meswak has become a satisfying ritual, leaving me with a lasting clean feeling and a genuine smile. It's more than just toothpaste; it's a holistic approach to oral care."
