Name,Rating,Date,Review,Title,Score,Compound,Sentiment
Seelam Suresh babu,4,06-09-2023,offer,usefull product,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Ratna Kumar,4,17-08-2023,tastes bland new users never mind dont eat great p,use childhood,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.6249}",0.6249,positive
Mahendra Patel,4,27-08-2023,liked smell feel good use,good aayurvedik toothpaste,"{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.7351}",0.7351,positive
Sachin Surawar,5,11-11-2023,delivery imports process excellent ordering receiving product,excellent product,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",0.5719,positive
Aruna Koppu,4,12-08-2023,ok,ok,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,positive
Amazon Customer,5,06-11-2023,good,good product,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",0.4927,positive
NAJMUL ISLAM,5,20-09-2023,toothpaste awesome really like doesn chemical like taste taste like original meswak sweet recommendation buy definitely buy,sweet nice smell,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.9595}",0.9595,positive
Soumit Das,4,03-08-2023,good quality packaging,quality,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,positive
Sumo,4,25-06-2023,use yearsgood gums teeth sometimes breath doesn remain fresh,effective,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6107}",0.6107,positive
rajendran.p,4,05-08-2023,good,thank,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Dilli krishna,4,29-07-2023,good,good,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
jpsinghaniya,4,23-07-2023,nice,hkl,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4754}",0.4754,positive
sourav chakraborty,4,22-07-2023,good,nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Kanhaya Lal,5,23-10-2023,awesome,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,positive
Shivani Parashwar,5,09-10-2023,like taste affordable,liked,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",0.3612,positive
Sandip Sahoo,5,16-10-2023,nice product,nice,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.4754}",0.4754,positive
Sahil shah,5,10-09-2023,best doesn chemicals like chlorine flourine keep mouth fresh like colgate help teeth long,ingredients,"{'neg': 0.062, 'neu': 0.592, 'pos': 0.346, 'compound': 0.8621}",0.8621,positive
Sandeep chaturvedi,4,02-07-2023,good,quality,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Sai inavolu,5,09-10-2023,nice product,good product,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,positive
Zulfeqar H.,3,25-09-2023,thik h,ok,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
yusuf khan,4,04-07-2023,awesome taste smell,good,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",0.6249,positive
Binoj,5,12-09-2023,good toothpaste good gives real refreshing experience really like recommend toothpaste,really good,"{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.8849}",0.8849,positive
Ms Khan,3,18-09-2023,good product good offer,good offer,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.7496}",0.7496,positive
Adv Vikas Nawathe,4,20-06-2023,thank,best offer,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",0.3612,positive
NIKHIL D.,5,30-09-2023,good original product,nice product,"{'neg': 0.0, 'neu': 0.161, 'pos': 0.839, 'compound': 0.6369}",0.6369,positive
Narinder Verma,5,27-09-2023,usefull product,toothpaste,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Placeholder,5,23-09-2023,good feel,freshness,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",0.5267,positive
Raju,3,15-09-2023,good product,good,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
[S]Sourovv,5,08-07-2023,fantastic terms flavour solves bad breathe problem properly need little bit effectively brush clean teeth also price reasonable brand similar product compete thistry yet,best toothpaste opinion,"{'neg': 0.148, 'neu': 0.664, 'pos': 0.188, 'compound': 0.3309}",0.3309,positive
Kaushal Sharma,3,14-09-2023,good toothpaste,good toothpaste,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
sububalu,5,15-09-2023,healthy tooth paste dabur,good,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,positive
buyer,5,21-09-2023,right choice,value money,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Jabeen,5,20-09-2023,good,good,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4927}",0.4927,positive
Dr Rayees Ahmad Bhat,5,01-09-2023,good product regular user paste take care teeth gums,works like charm,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.7501}",0.7501,positive
Sadek Shaikh,3,08-09-2023,valu money,good product,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Sanjoy Som,3,09-09-2023,average quality product,average quality,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Placeholder,5,09-09-2023,nice toothpaste effect teeth,nice product,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}",0.4215,positive
Ramesh,5,14-09-2023,super,nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",0.5994,positive
Deepak Kumar,5,12-09-2023,good product,good product,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Syed Anas,3,29-08-2023,ok ok nothing special,average,"{'neg': 0.303, 'neu': 0.402, 'pos': 0.295, 'compound': -0.015}",-0.015,negative
Imtiyaz,3,01-09-2023,best,best,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",0.6369,positive
Mukesh Kumar,5,24-08-2023,good product servicethank amazon,good product service,"{'neg': 0.0, 'neu': 0.505, 'pos': 0.495, 'compound': 0.5984}",0.5984,positive
Shehbaz,2,07-09-2023,dabur maswak paste ayurvedic way good use taste not good due not likes test use people also ordered toothpaste amazon house due taste not good due couple shortcomings family members stopped use say teeth damaged gums damaged like like taste think good give page stars,taste not good,"{'neg': 0.175, 'neu': 0.733, 'pos': 0.092, 'compound': -0.8858}",-0.8858,negative
DEEPU KUMAR,3,07-07-2023,taste not good although cleans teeth properly company improve taste also,taste not recommendable,"{'neg': 0.16, 'neu': 0.687, 'pos': 0.153, 'compound': -0.0332}",-0.0332,negative
Valencia,5,22-08-2023,value money compare store buy prices,good,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.34}",0.34,positive
E.Subburam,5,02-09-2023,good product,meswak pastev,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
kalim khan,3,17-08-2023,good product,good,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,positive
ROTHIN DUTTA,4,26-05-2023,media not loaded,pure miswak,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Anand Girdhar,5,18-06-2023,worked quite use due tooth plague gums open wounds doesn give burning sensation brushing recommend daily use,slowly genuinely effective tooth plague tartar,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.5984}",0.5984,positive
Placeholder,4,10-04-2023,nice alternative buy vicco vajradanti take delivery charges,nice,"{'neg': 0.124, 'neu': 0.71, 'pos': 0.166, 'compound': 0.1779}",0.1779,positive
Ritika Siddiqui,5,11-08-2023,switch gum issues,great product,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
BuyerFreak,5,28-08-2023,fresh natural mouth feel pleasant,best mouth feel,"{'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.7964}",0.7964,positive
Bansal,1,08-02-2024,since branded product nothing fishy beware high sodium saccharine content leaves sweetness mouth brushing,sodium saccharine content,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.6486}",0.6486,positive
SANJAY MISHRA,5,18-08-2023,smells gooddoesn foam mucheffectively cleans teethdefinitely recommend,effective ayurvedic toothpaste,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",0.3612,positive
Afjal razvi,5,19-08-2023,bahut acha hi,bahut acha hi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
dheeraj gupta,3,24-07-2023,need wuality,due brand name purchased its average toot,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
SSN,4,12-04-2023,good product reasonable price,good,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,positive
Nishu.Rajput,5,15-08-2023,good,excellent quality,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",0.4927,positive
Herminder Kaur,5,05-08-2023,best parchase adorable price,good,"{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.8126}",0.8126,positive
Sk Sirajudddin Ahmed,5,17-08-2023,nice product,good,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,positive
Priyabrat,5,05-08-2023,wow,badhia,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",0.5859,positive
Francis D Souza,5,25-08-2023,wonderful,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",0.5719,positive
Raviteja Pathikonda,4,28-03-2023,nan,seal break,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Akshay Kumar,3,14-07-2023,really good deal,good,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",0.4927,positive
Prashant,5,03-07-2023,nice fresh itemoriginal product use u purchase without doubtthank amazon,good taste fresh,"{'neg': 0.065, 'neu': 0.602, 'pos': 0.333, 'compound': 0.7382}",0.7382,positive
Vikram,5,22-08-2023,best taste quality,good product,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,positive
Rahul jaiswal,4,29-03-2023,like,good product,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,positive
Ayushi Roy,5,18-02-2024,use month see difference shades teethalso use twice day removes bad odour mouth stay longer hours,fresh breath removed stains,"{'neg': 0.093, 'neu': 0.907, 'pos': 0.0, 'compound': -0.5423}",-0.5423,negative
Khyati Varshney,4,05-02-2024,purchased month ago use consistently first month see visible results like yellow stain dark not completely remove yellow stain better light shades,teeth whitening,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.6808}",0.6808,positive
Amit Das,5,10-02-2024,use quite time honestly compare product removed tarnish whiten teeth keeps fresh fresh breath request try,amazing product,"{'neg': 0.051, 'neu': 0.771, 'pos': 0.178, 'compound': 0.6597}",0.6597,positive
Michelle,3,18-12-2023,days since start use product honest couldn see changesbefore start use teeth cleaned dentist yellow stains teeth think help since consume lot coffee tea teeth stain easilyever since start use product reduced caffeine intake also start brushing teeth thrice day drink lot water usual still see visible changei know say read reviews product buy since people given positive reviews decided itwell keep use month see really works,really help,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.836}",0.836,positive
Dhiren Jain,4,13-02-2024,really like powder keeps mouth fresh makes us feel fresh love product,good product,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.8908}",0.8908,positive
Ishu Gupta,5,10-02-2024,media not loaded i bit yellowish teeth afraid bad photos marriage buy tooth powder spite dental cleaning miracle teeth brightest photos wow laughed fullest weddingmust,toothpaste awesome,"{'neg': 0.091, 'neu': 0.715, 'pos': 0.193, 'compound': 0.8271}",0.8271,positive
It's really good for yellow teeth,5,17-02-2024,really good yellow teeth take week see results,good,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.2724}",0.2724,positive
Nitu Poonia,4,12-02-2024,its not something works like magic its take months whiten teeth,good,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.2755}",-0.2755,negative
tyagi,4,14-02-2024,superb product,good amazing,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,positive
vijay sharma,4,06-02-2024,buy mother seems like good product far,review,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.6597}",0.6597,positive
deeksha chauhan,4,23-01-2024,start use liked smell feel wait see changes teeth update see changes,good,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.634}",0.634,positive
Apoorva,4,27-01-2024,works according description,good,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Rajkiran,4,21-01-2024,whitening teeth,good,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Good,4,15-01-2024,good product,good,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Shivam Soni,4,12-01-2024,safe good teeth whitening powderno harmful chemicals,good teeth whitening powder,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.7003}",0.7003,positive
Amazon Customer,4,03-01-2024,nan,good,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Gargi Pant,4,24-12-2023,happy product delivery result,good product,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.5719}",0.5719,positive
Shailvi Gupta,4,27-12-2023,good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Ashish,4,13-12-2023,like whitening property taste not much good overall product better,teeth whitening,"{'neg': 0.143, 'neu': 0.599, 'pos': 0.258, 'compound': 0.3593}",0.3593,positive
urvashi,4,03-12-2023,product nice fragrance process little slow worth trying,good product,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.4319}",0.4319,positive
Dishika,4,01-11-2023,friend mine recommended product emphasising its effective resultsi tried surprised pleasant aroma easy use carry around ingredients like ashwagandha aloe vera mint paves path safe whitening solution overall liked product recommend ya,love,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.9781}",0.9781,positive
Joginder Singh,5,13-02-2024,buyed presently use time tastes good lets see effectiveness use time,nice product,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4927}",0.4927,positive
Rakesh Tiwari,4,30-11-2023,effective see visivle changes week usage,nice effective not magical,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.4767}",0.4767,positive
GANESH,5,09-02-2024,start use usage start working nice visible effects teeth taste also good refreshing liked,personally liked,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.8176}",0.8176,positive
Manzoor Ahmad Wani,5,17-02-2024,jst start use productshowing postive results,nice product,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
AMMAR,3,04-01-2024,product looks decentwill update month usage,product looks decent,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Niana,4,28-11-2023,good product worth money effective results,great taste,"{'neg': 0.0, 'neu': 0.415, 'pos': 0.585, 'compound': 0.8155}",0.8155,positive
Pankajbhatt,5,05-02-2024,really enjoyed fresh breath peppermint results visible times usage,great product,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.8051}",0.8051,positive
Prangya,3,01-01-2024,good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Kaushal Kumar Mishra,5,12-02-2024,purchased item start use perfora teeth whitening powder later update result,awesome,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Mishty Sharma,4,11-11-2023,amazing product second purchase amazing results cheaper safer way whiten teeth day freshness,name,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.886}",0.886,positive
Amit kumar,4,18-11-2023,use product past weeknice p,nice product,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
NishantLohar,5,14-02-2024,awesome product,whitining powder,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,positive
Aakash,3,15-12-2023,mint flavour refreshing first use noticed slightest different stain let hope use several times stains,flavour refreshing,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.6705}",0.6705,positive
Sourav salaria,5,11-02-2024,really good product,product,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",0.4927,positive
Puneet,5,10-02-2024,nice product,good,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,positive
Nerisa   fernandes,4,15-11-2023,nice,perfora,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.4754}",0.4754,positive
Jayeta Gargari,5,11-02-2024,works,love use,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Sahil Sharma,5,25-01-2024,best tooth powder ordered triple mint refreshing,good substitute toothpaste,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.6369}",0.6369,positive
Hitanshu Sahu,4,02-11-2023,question sodium bi carbonate baking soda costly,worth receive product let use days,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.2183}",-0.2183,negative
Ruchita Waghmare,4,07-11-2023,totally recommend product decent aroma gives good results,recommended,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7172}",0.7172,positive
muskan khedia,4,01-11-2023,rare find oral products lesser chemicals better natural extracts,good quality,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.6597}",0.6597,positive
Jeet Vijayvargiya,5,31-01-2024,brighter white teeths use,says,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.3818}",0.3818,positive
Hemant Solanki.,4,29-10-2023,good product yellow color teeth,good thing teeth,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.4404,positive
Umangbedi,5,09-01-2024,use form days working fine reliable choice whiter teeth capable removing plaques teeth,good product cleaning teeth,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5267}",0.5267,positive
Nikhilesh Kumar,5,22-01-2024,media not loaded i fan product quality surely meets expectations definitely advise try product use never back ag,cool breeze makes ones morning,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.7845}",0.7845,positive
Lokesh,4,15-10-2023,nice packaging refreshing taste need use see works not,good,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.4215}",0.4215,positive
Vedansh Dwivedi,5,16-01-2024,use months night great product,amazing product,"{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.6249}",0.6249,positive
RINO,4,07-11-2023,dad amazon bestseller yet use seems okay,bestseller,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.4191}",0.4191,positive
Vanshika Sharma,5,09-02-2024,media not loaded its good refreshing,good product,"{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.4927}",0.4927,positive
MOHINI VERMA,5,31-01-2024,good product,nice packaging,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Ibas Ibroi,5,06-01-2024,yet tried seems promising buy much hope wish work way attractive part vegan friendly,good packaging,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.9663}",0.9663,positive
R N Sharma,5,23-01-2024,start use,nice product,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Mohammad Anwar Zahoor,5,12-01-2024,today use first time leave good freshness feel hoping donit work teeth whitening,toothpaste freshness mouth,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.8074}",0.8074,positive
Chandra,5,28-01-2024,powerfull natural product,natural product,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,positive
ankit kumar,5,26-01-2024,media not loaded it really minty works like magic teeths giving perfect smile special day,amazing product,"{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.9153}",0.9153,positive
Shourya Vashishtha,5,26-01-2024,works like magic,recommended,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,positive
Ashish,5,13-01-2024,product actually crucially effective start showing effects min days surprisingly thanks amazon recommending,works instant wonders,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.875}",0.875,positive
Sunil P S,5,24-01-2024,works see improvement first week,nice product,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}",0.4588,positive
